Admissões,Desligamentos,Saldos,data,mes,ano,atividade
87523.0,64648.0,22875.0,Fevereiro/2021,Fevereiro,2021,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
322289.0,229290.0,92999.0,Fevereiro/2021,Fevereiro,2021,['Indústria geral']
5560.0,3212.0,2348.0,Fevereiro/2021,Fevereiro,2021,['Indústrias Extrativas']
305903.0,218357.0,87546.0,Fevereiro/2021,Fevereiro,2021,['Indústrias de Transformação']
1842.0,1436.0,406.0,Fevereiro/2021,Fevereiro,2021,['Eletricidade e Gás']
8984.0,6285.0,2699.0,Fevereiro/2021,Fevereiro,2021,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
166683.0,122485.0,44198.0,Fevereiro/2021,Fevereiro,2021,['Construção']
386423.0,320487.0,65936.0,Fevereiro/2021,Fevereiro,2021,['Comércio; reparação de veículos automotores e motocicletas']
752507.0,580600.0,171907.0,Fevereiro/2021,Fevereiro,2021,['Serviços']
85014.0,74053.0,10961.0,Fevereiro/2021,Fevereiro,2021,"['Transporte, armazenagem e correio']"
87386.0,70540.0,16846.0,Fevereiro/2021,Fevereiro,2021,['Alojamento e alimentação']
375272.0,303102.0,72170.0,Fevereiro/2021,Fevereiro,2021,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
36304.0,26314.0,9990.0,Fevereiro/2021,Fevereiro,2021,['Informação e Comunicação']
17736.0,14483.0,3253.0,Fevereiro/2021,Fevereiro,2021,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
6402.0,4661.0,1741.0,Fevereiro/2021,Fevereiro,2021,['Atividades Imobiliárias']
56608.0,41107.0,15501.0,Fevereiro/2021,Fevereiro,2021,"['Atividades Profissionais, Científicas e Técnicas']"
258222.0,216537.0,41685.0,Fevereiro/2021,Fevereiro,2021,['Atividades Administrativas e Serviços Complementares']
162056.0,101954.0,60102.0,Fevereiro/2021,Fevereiro,2021,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
10619.0,3990.0,6629.0,Fevereiro/2021,Fevereiro,2021,"['Administração Pública, Defesa e Seguridade Social']"
69644.0,42071.0,27573.0,Fevereiro/2021,Fevereiro,2021,['Educação']
81793.0,55893.0,25900.0,Fevereiro/2021,Fevereiro,2021,['Saúde Humana e Serviços Sociais']
95.0,46.0,49.0,Fevereiro/2021,Fevereiro,2021,['Serviços domésticos']
42684.0,30905.0,11779.0,Fevereiro/2021,Fevereiro,2021,['Outros serviços']
8834.0,6853.0,1981.0,Fevereiro/2021,Fevereiro,2021,"['Artes, Cultura, Esporte e Recreação']"
33832.0,24032.0,9800.0,Fevereiro/2021,Fevereiro,2021,['Outras Atividades de Serviços']
18.0,20.0,-2.0,Fevereiro/2021,Fevereiro,2021,['Organismos Internacionais e Outras Instituições Extraterritoriais']
55550.0,71871.0,-16321.0,Novembro/2020,Novembro,2020,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
253408.0,202895.0,50513.0,Novembro/2020,Novembro,2020,['Indústria geral']
4383.0,3303.0,1080.0,Novembro/2020,Novembro,2020,['Indústrias Extrativas']
240342.0,192254.0,48088.0,Novembro/2020,Novembro,2020,['Indústrias de Transformação']
1539.0,1225.0,314.0,Novembro/2020,Novembro,2020,['Eletricidade e Gás']
7144.0,6113.0,1031.0,Novembro/2020,Novembro,2020,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
141136.0,120040.0,21096.0,Novembro/2020,Novembro,2020,['Construção']
436572.0,259137.0,177435.0,Novembro/2020,Novembro,2020,['Comércio; reparação de veículos automotores e motocicletas']
666171.0,489946.0,176225.0,Novembro/2020,Novembro,2020,['Serviços']
84360.0,66458.0,17902.0,Novembro/2020,Novembro,2020,"['Transporte, armazenagem e correio']"
88563.0,52856.0,35707.0,Novembro/2020,Novembro,2020,['Alojamento e alimentação']
375975.0,274125.0,101850.0,Novembro/2020,Novembro,2020,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
32131.0,30982.0,1149.0,Novembro/2020,Novembro,2020,['Informação e Comunicação']
15106.0,13620.0,1486.0,Novembro/2020,Novembro,2020,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
5333.0,3636.0,1697.0,Novembro/2020,Novembro,2020,['Atividades Imobiliárias']
49014.0,35641.0,13373.0,Novembro/2020,Novembro,2020,"['Atividades Profissionais, Científicas e Técnicas']"
274391.0,190246.0,84145.0,Novembro/2020,Novembro,2020,['Atividades Administrativas e Serviços Complementares']
84824.0,72194.0,12630.0,Novembro/2020,Novembro,2020,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
1640.0,4032.0,-2392.0,Novembro/2020,Novembro,2020,"['Administração Pública, Defesa e Seguridade Social']"
19452.0,19309.0,143.0,Novembro/2020,Novembro,2020,['Educação']
63732.0,48853.0,14879.0,Novembro/2020,Novembro,2020,['Saúde Humana e Serviços Sociais']
65.0,36.0,29.0,Novembro/2020,Novembro,2020,['Serviços domésticos']
32384.0,24277.0,8107.0,Novembro/2020,Novembro,2020,['Outros serviços']
7726.0,5041.0,2685.0,Novembro/2020,Novembro,2020,"['Artes, Cultura, Esporte e Recreação']"
24645.0,19221.0,5424.0,Novembro/2020,Novembro,2020,['Outras Atividades de Serviços']
13.0,15.0,-2.0,Novembro/2020,Novembro,2020,['Organismos Internacionais e Outras Instituições Extraterritoriais']
90004.0,81118.0,8886.0,Setembro/2021,Setembro,2021,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
310478.0,234283.0,76195.0,Setembro/2021,Setembro,2021,['Indústria geral']
5947.0,4279.0,1668.0,Setembro/2021,Setembro,2021,['Indústrias Extrativas']
